points,passing_yds,passing_int,passing_times_sacked,rushing_yds,fmb,punts_yds,penalty_yds,def_passing_yds,def_passing_int,def_passing_times_sacked,def_rushing_yds,def_fmb,pass_play_percentage,def_pass_play_percentage,drives,def_drives,tds_per_yard,def_tds_per_yard,fg_percentage,home_game
24,151.768,1.31,2.946,96.027,1.074,262.704,51.759,205.399,0.719,2.161,137.185,0.748,51.83,50.652,9.301,9.172,42.952,80.991,68.982,1
7,151.798,1.247,3.027,108.135,0.92,287.937,47.28,254.019,1.248,2.279,69.532,0.945,55.96,62.704,9.337,8.702,51.981,47.014,71.822,0
7,151.923,0.907,2.491,140.557,1.01,242.863,57.7,179.304,1.101,2.54,91.013,0.756,47.078,55.342,10.004,8.437,58.907,57.035,88.521,1
23,151.952,1.192,2.935,130.363,1.262,223.161,57.642,207.943,1.001,2.131,128.874,0.767,47.839,53.349,7.81,8.447,46.329,51.315,55.603,1
10,151.973,1.092,3.612,147.879,0.549,175.661,45.104,224.227,0.627,2.898,107.641,0.663,46.985,59.019,7.45,7.676,67.316,66.125,75.581,1
23,151.998,0.89,2.712,122.756,0.648,255.584,44.293,249.164,0.913,2.066,128.619,0.564,50.833,56.578,8.851,9.217,54.485,72.337,72.766,1
14,152.073,1.153,2.783,155.052,0.835,188.815,53.501,196.083,1.013,2.733,124.513,0.699,45.759,53.933,8.442,8.901,65.44,56.147,55.429,0
31,152.075,0.997,3.076,114.273,0.976,264.73,53.864,219.069,0.669,2.072,140.546,0.815,50.39,50.335,8.668,8.64,36.842,68.462,60.152,1
13,152.098,1.077,3.105,109.641,1.016,279.881,45.708,235.658,1.124,2.248,100.827,0.79,54.859,57.018,9.133,8.655,60.194,75.079,59.623,0
20,152.173,0.863,3.131,114.189,0.655,200.73,50.321,217.805,1.001,1.934,118.529,0.904,49.506,53.969,8.365,8.47,61.128,61.069,58.11,0
9,152.186,1.41,2.899,96.112,1.111,256.909,51.912,194.62,1.13,2.859,103.834,0.594,51.443,52.908,9.194,8.497,43.993,51.824,68.375,1
19,152.283,0.823,3.936,115.936,0.625,201.371,56.978,192.874,0.877,1.809,141.489,0.765,48.19,47.304,7.902,8.864,63.953,59.259,46.676,0
10,152.594,1.149,2.679,134.751,0.743,233.778,50.289,229.074,1.181,1.871,106.754,0.637,48.64,57.692,8.905,8.014,45.037,59.126,67.306,1
37,152.659,0.912,2.303,115.989,0.765,240.863,55.39,227.687,1.172,2.874,94.887,0.784,47.879,58.347,9.252,8.878,50.891,48.782,68.404,0
14,152.81,0.804,2.761,174.493,0.88,184.967,59.044,216.8,0.926,2.247,105.448,0.853,43.933,54.267,8.602,9.254,55.635,66.047,72.094,0
22,152.814,1.19,2.79,104.685,0.975,250.792,50.549,224.871,0.944,2.227,109.131,0.639,49.518,53.844,9.35,9.592,45.872,74.996,68.382,1
15,152.949,1.046,3.025,114.837,1.013,261.626,54.534,216.31,0.868,2.257,118.239,0.873,50.996,51.293,8.57,8.308,37.964,62.736,56.993,1
13,153.03,1.253,1.803,103.984,0.675,243.341,42.923,196.533,0.886,3,82.251,0.621,53.777,59.638,8.339,8.795,37.489,48.15,63.936,0
10,153.358,0.873,2.505,130.812,0.595,249.249,43.344,219.914,0.677,2.687,117.662,0.664,48.971,54.929,8.991,9.731,57.653,69.863,70.337,0
22,153.387,0.909,2.626,126.469,0.688,244.56,42.415,225.15,0.537,2.042,132.367,0.617,49.538,49.814,8.823,9.346,57.451,68.461,67.908,1
20,153.391,1.072,1.719,125.797,0.668,225.991,42.217,187.448,0.804,2.124,96.002,1.012,47.869,55.729,8.6,9.274,47.624,50.78,74.635,0
20,153.421,1.035,1.826,124.833,0.776,224.738,43.056,243.979,0.874,1.305,117.491,0.406,48.258,51.592,8.519,8.132,48.089,78.853,74.635,1
3,153.56,0.857,2.718,175.791,0.586,199.513,57.704,186.261,1.065,2.584,106.572,0.702,43.856,53.498,8.798,9.669,60.546,61.102,70.25,0
24,153.639,0.949,2.869,102.168,0.867,224.278,54.13,209.849,0.723,2.024,134.641,0.55,49.705,50.071,8.502,8.345,59.46,69.79,75.409,1
27,153.659,0.894,2.644,165.319,0.875,195.978,55.862,163.897,0.93,2.377,108.644,0.839,43.965,48.391,8.586,9.073,69.849,53.993,71.817,0
32,153.894,0.769,2.814,168.675,0.933,193.973,60.149,201.018,0.909,2.271,105.092,0.802,44.459,54.725,8.651,9.338,58.748,75.745,70.88,0
18,154.069,1.146,2.768,129.849,1.274,224.389,55.446,222.678,1.568,2.754,107.671,0.978,47.089,58.845,8.041,7.96,49.211,61.094,60.81,0
9,154.103,0.831,2.623,117.482,0.881,208.916,59.913,201.431,1.552,2.539,99.845,1.04,49.441,55.23,8.524,8.184,64.332,61.232,74.141,0
29,154.178,0.92,2.869,178.758,0.757,193.025,56.898,215.168,1.708,2.088,119.79,0.786,44.163,54.734,8.919,8.162,60.654,66.436,67.199,1
27,154.193,0.956,2.573,115.997,0.926,247.418,54.578,223.134,0.816,1.64,119.611,0.73,49.445,54.217,8.255,8.336,42.35,68.258,57.423,0
24,154.232,0.889,2.741,174.813,0.715,206.129,60.671,216.388,0.795,1.8,110.357,0.554,45.181,53.89,8.95,9.299,57.126,60.609,68.784,1
14,154.271,1.04,2.834,111.377,0.877,288.505,47.061,196.232,0.835,1.843,109.577,0.799,55.666,51.503,9.459,9.553,48.402,66.802,77.822,1
3,154.428,0.881,2.698,170.04,0.982,191.007,61.554,198.05,0.791,1.984,127.076,0.828,43.768,49.789,8.625,9.37,62.786,68.538,71.92,1
20,154.443,0.935,2.306,124.7,0.899,250.196,50.037,229.465,1.344,2.023,103.415,0.846,48.227,58.198,8.458,7.738,47.781,59.467,60.755,0
23,154.474,0.793,2.795,112.098,0.83,208.548,58.277,185.98,0.957,2.808,129.853,0.807,49.74,49.104,8.419,9.463,61.322,60.064,74.141,1
14,154.477,0.908,2.46,125.549,0.819,210.859,61.54,255.738,0.822,2.221,110.358,0.793,48.08,58.961,8.625,8.84,62.655,74.173,75.283,0
6,154.629,0.981,2.975,113.392,0.998,244.219,52.479,201.196,0.804,1.759,105.251,0.747,50.682,54.932,8.29,8.727,40.699,55.045,56.393,0
30,154.848,1.084,2.765,114.599,0.625,230.7,46.257,213.908,1.008,2.05,110.047,0.502,51.236,54.625,8.592,8.052,54.008,61.285,73.683,1
10,155.096,0.814,3.81,113.341,0.747,198.323,54.591,223.079,0.935,2.071,107.352,0.76,49.969,53.478,8.127,9.458,60.3,81.298,54.126,1
10,155.126,0.848,2.41,120.072,0.884,210.28,59.057,244.727,1.072,2.379,88.756,0.514,47.944,60.483,8.65,8.279,64.164,66.765,72.951,1
19,155.132,0.985,3.185,106.155,0.921,246.76,56.415,224.976,1.238,2.203,93.199,0.768,53.032,59.518,9.426,8.466,55.062,63.205,59.086,1
10,155.183,1.234,2.712,101.181,1.035,258.675,50.351,205.733,0.671,2.222,127.869,0.811,50.917,51.9,9.501,9.396,45.676,74.228,65.185,0
13,155.265,0.951,3.452,154.378,0.634,162.359,46.396,266.941,0.849,2.43,127.867,0.558,45.306,56.843,7.273,8.758,64.384,62.724,75.375,0
